RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2023-02-28,2023-04-30,2024-01-31
394941,439,"Opelousas, LA",msa,LA,2023-01-31,2.4,4.2,-0.4
394644,440,"Great Falls, MT",msa,MT,2023-01-31,0.4,0.8,0.8
395126,441,"Statesboro, GA",msa,GA,2023-01-31,0.2,0.3,1.2
394445,442,"Casper, WY",msa,WY,2023-01-31,0.3,0.2,-1.4
395085,443,"Seneca, SC",msa,SC,2023-01-31,-0.1,0.4,3.0
395145,444,"Talladega, AL",msa,AL,2023-01-31,0.8,2.0,2.5
394986,445,"Plattsburgh, NY",msa,NY,2023-01-31,-0.5,-0.9,-1.7
395205,446,"Warsaw, IN",msa,IN,2023-01-31,0.0,0.2,0.5
394822,447,"Manitowoc, WI",msa,WI,2023-01-31,1.0,1.7,2.3
395077,448,"Searcy, AR",msa,AR,2023-01-31,1.2,2.1,1.1
394541,449,"DuBois, PA",msa,PA,2023-01-31,3.0,5.5,3.2
753881,450,"Glenwood Springs, CO",msa,CO,2023-01-31,-0.3,-0.3,2.1
394994,451,"Port Angeles, WA",msa,WA,2023-01-31,-0.3,-0.4,0.8
394674,452,"Heber, UT",msa,UT,2023-01-31,-0.6,-0.8,2.2
394866,453,"Minot, ND",msa,ND,2023-01-31,0.1,-0.6,-4.5
394465,454,"Chillicothe, OH",msa,OH,2023-01-31,0.9,1.8,2.7
394738,455,"Keene, NH",msa,NH,2023-01-31,0.0,0.2,1.6
753893,456,"Jefferson, GA",msa,GA,2023-01-31,0.0,0.3,2.7
394350,457,"Auburn, NY",msa,NY,2023-01-31,0.0,0.1,0.1
394298,458,"Aberdeen, WA",msa,WA,2023-01-31,0.0,0.6,4.1
394936,459,"Olean, NY",msa,NY,2023-01-31,0.0,0.8,2.4
394593,460,"Findlay, OH",msa,OH,2023-01-31,0.1,-0.1,-1.7
394638,461,"Grand Island, NE",msa,NE,2023-01-31,0.2,0.2,-0.4
394516,462,"Danville, IL",msa,IL,2023-01-31,1.9,3.2,0.2
394955,463,"Palatka, FL",msa,FL,2023-01-31,1.3,3.8,8.6
395010,464,"Quincy, IL",msa,IL,2023-01-31,0.7,0.7,-1.8
394999,465,"Portsmouth, OH",msa,OH,2023-01-31,0.1,-0.2,-1.1
394614,466,"Frankfort, KY",msa,KY,2023-01-31,0.4,0.8,0.6
394744,467,"Key West, FL",msa,FL,2023-01-31,-0.5,-0.9,1.3
395062,468,"Sandusky, OH",msa,OH,2023-01-31,0.5,0.8,0.9
395088,469,"Shawnee, OK",msa,OK,2023-01-31,0.1,0.7,2.9
395106,470,"Somerset, PA",msa,PA,2023-01-31,0.3,0.8,0.8
