RegionID,SizeRank,RegionName,RegionType,StateName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
102001,0,United States,country,,1304.7656069827851,1314.8262528916762,1324.585784537505,1334.6863429436821,1340.8230318698504,1346.4301770184477,1348.3349279637414,1349.757325639044,1349.2561398260032,1348.9164409830937,1351.7792506619644,1357.091883319629,1366.3329630160397,1373.7932424933624,1381.9167602380915,1388.1157376228232,1393.2709610394168,1395.5410346485812,1395.4333921885586,1393.8979964822024,1391.8310721953294,1390.7400741658232,1393.5936529114729,1400.5845206730778,1410.2651281899518,1420.4419366379493,1430.2328182885271,1438.7724281949174,1445.3733168150238,1448.4010756454488,1448.451587563521,1446.4365489117217,1444.3931747656125,1444.2268812433206,1447.2985148325934,1452.8824844048158,1461.8407245488647,1471.4261591234688,1481.701004165599,1491.0830040178496,1498.3922268093288,1503.5124582919375,1503.9644472155405,1503.0267011526128,1501.900635805022,1502.7076568352275,1505.5845821829794,1511.043685380245,1520.0217825493467,1530.4846567051604,1541.616552834671,1551.9207284906915,1559.7271939669656,1563.9099164483275,1563.897370655758,1562.2049511411603,1559.7401597355004,1560.0838349388482,1563.440852902571,1571.4256806604574,1579.503418000524,1578.6816060588108,1574.3993097755308,1571.2345725740804,1576.3176140119308,1578.7974872867874,1577.185903331744,1573.8025867758151,1574.208086432047,1576.7983344963295,1581.9939914711913,1589.4474461629873,1604.641532586426,1627.7219994042255,1658.3845177827025,1692.646637630425,1729.361361535543,1764.8145602270831,1793.098675317878,1811.2814262780728,1823.1798880116694,1834.7271153058878,1843.1202331672891,1859.4947625375169,1875.2878913235102,1900.1341222015562,1922.956545274881,1947.715929952349,1968.283853536009,1981.4527922493905,1986.6722343605395,1984.7356887942133,1976.5298237109375,1971.4693532949884,1970.2434258414526
394913,1,"New York, NY",msa,NY,2385.219395601269,2403.753582459159,2421.2310758578333,2439.3823297605113,2448.4253490679184,2462.016357024437,2468.7398625847154,2474.215488079891,2469.1408649572263,2460.336774322042,2455.914560882816,2457.3817362012996,2465.05669157275,2473.4892747093086,2486.3435196757655,2501.3877439615635,2510.6270165754195,2513.9849244863994,2515.5556028103188,2510.6329866424594,2505.4240952751993,2495.1638973042463,2491.219521979028,2491.9148657444625,2498.1585191228937,2510.5758674736767,2526.901094593447,2543.1171897415843,2556.775882968928,2561.2550333307317,2560.8698591611533,2551.9936720427686,2538.140672043325,2527.863974523959,2520.5259334928305,2522.240062652412,2528.4500838711942,2542.9112786356654,2561.4212607459453,2578.7041619675742,2594.2359725147276,2604.796338317687,2607.7815286040764,2602.7909493663633,2591.924977842,2580.7432215182703,2574.3064020659067,2579.421278568405,2592.8518969741363,2607.638562036119,2629.1105194467764,2649.3620489053915,2669.2331604609303,2673.967238873844,2670.5701412875846,2665.1097687621996,2653.7220038957953,2644.027294740502,2639.585907546424,2652.7228009749324,2667.5056622703232,2663.9702020205045,2644.9486138032403,2619.6767002952033,2595.3489791669685,,,2451.4196002741173,2420.4294862993643,2405.332380543582,2401.970383578095,2405.0205853065504,2423.809155928284,2454.435510974204,2502.5788567959517,2557.213791133063,2620.099956569561,2680.2987166185003,2731.6085478438067,2764.2510788462646,2785.162587014447,2803.012639390484,2822.8982842128125,2859.594732864519,2902.2988351188646,2955.8592231891994,3015.2960550402463,3076.799046177464,3130.3321407354742,3154.0332465189736,3151.0255990507926,3127.8837656787837,3095.7423112604547,3072.639222701706,3065.017317833144
753899,2,"Los Angeles, CA",msa,CA,1914.7308637046983,1927.6554568329614,1940.9954752908961,1952.4257920286454,1968.4387078877558,1982.2823551750257,1993.8588437106346,1999.432996456373,2005.7990264374243,2010.0240489528028,2019.4423046300028,2031.260368283654,2046.2628946143413,2055.0510091596634,2066.062417516992,2077.777931115154,2092.063049702771,2100.3463914808935,2107.723573342489,2112.219301912615,2115.1184157182247,2117.838648184656,2126.1399190507236,2139.6469982881363,2155.932764569192,2171.522150480136,2186.1826807035336,2196.3668486557467,2208.3839943827984,2215.793739413297,2223.529232599596,2225.0833245694134,2227.6450720251464,2229.1481236360746,2235.2970537944166,2243.087919787958,2254.135983601664,2264.804094892368,2276.102192195587,2288.5882522356655,2298.6524996885646,2309.5297831352805,2315.5169016442746,2321.379956745417,2325.5552262897713,2330.974868819659,2336.2826891801305,2341.205468678979,2347.8797936113633,2357.6981310440756,2367.814141565699,2380.7056888191105,2390.206557539895,2399.8468274553493,2405.0741591441515,2407.860150134615,2408.3047653082804,2411.8555689191617,2417.8166159559387,2424.763233238493,2426.158642640642,,,,2377.150334497748,2376.431236309992,2377.201517056356,2377.9977061759805,2385.980151191726,2387.3966108663008,2388.672317806253,2392.2824142951094,2406.7398139733623,2427.6151101454684,2455.8144169473408,2492.6999368143174,2540.83873109703,2599.2349819858396,2646.250548534558,2680.963945622558,2697.6604886702876,2717.359955931063,2734.6286248780534,2759.8362778386836,2788.5430131442954,2823.0358820972842,2857.376769090233,2882.139363890003,2903.194297206913,2916.149141733822,2923.4840109182155,2919.0078409816,2910.8419293801867,2902.8893913560573,2896.9430670386414
394463,3,"Chicago, IL",msa,IL,1422.6724099988041,1435.4414017935962,1446.7027855503047,1470.3743153244495,1476.7870613047064,1483.009420960823,1481.0207425430137,1474.2371946397564,1463.6934103600886,1459.2221820504776,1463.7177889176583,1473.8939339932488,1485.6783964397634,1495.0600068253464,1505.6022715798579,1514.5228809677672,1521.6401990848963,1522.7220077654597,1516.5834787301771,1505.1692704188592,1493.448077754998,1487.2867525285915,1488.718141615747,1501.267086582187,1516.9904273802604,1533.9857125511935,1545.3412203984662,1552.6723018285122,1556.786054953013,1555.2139443575204,1549.0341386860764,1538.602158837004,1529.2857114332837,1526.1000211730627,1530.0357690457038,1537.667100057357,1549.3845424619817,1559.609537666692,1571.9090791074095,1581.8391202713055,1588.5540944941317,1588.0724429968288,1581.7555792339817,1570.699901314047,1562.6304275784423,1557.1471859459105,1561.7802641399464,1569.9052414640632,1583.5732281501716,1597.9256886839776,1611.4790797308572,1622.575399323112,1628.6365717215058,1629.5348589547775,1625.807387979613,1618.4581756029584,1609.187532436348,1603.620517957807,1606.7581644513134,1617.6647177486186,1630.9485370425643,1633.914155320605,1632.7414203791893,1627.7558580870943,1627.2137021058977,1620.619138085861,1605.7536869364997,1585.1075207086278,1568.0294512671132,1559.1345417847176,1557.3971331460273,1561.6091895978589,1577.6564710662417,1606.1932633048273,1641.1429206539863,1671.1633286892725,1692.9200309900689,1709.9425971117305,1718.307239429418,1720.3397421920008,1719.3127177003892,1725.8771107426817,1738.2247311869219,1753.9856046066172,1772.9767978574255,1795.3443108255067,1820.7546237158017,1841.5470869521598,1860.531252168597,1868.7197050456052,1871.4574721544925,1869.9641192115412,1863.9956890098244,1864.9397034655806,1868.858459631123
394514,4,"Dallas, TX",msa,TX,1157.3348495283067,1167.8243027394199,1179.831225953044,1187.613051148277,1193.8689527911358,1198.6095296700155,1201.2451560946422,1200.1199517606058,1199.5031226455817,1199.0774430847782,1203.645524650754,1209.8063077551085,1221.5343459430142,1230.0826789294151,1238.4441866818784,1242.920606346241,1248.6488940491536,1251.7455380558192,1252.248988070536,1251.9360439325485,1252.7437625016255,1254.1845305137974,1257.752888552719,1261.2618542688874,1270.9801284318244,1280.009488821518,1292.5421673095632,1301.3343770609297,1308.2672242469177,1311.3042465370622,1310.5243813715629,1310.184319314225,1306.4953736350378,1306.2757945053406,1307.7511233241155,1315.385818259549,1321.3581158425009,1328.7047155002301,1332.9773071298696,1341.3852985182448,1347.0963912605273,1352.6896741665723,1351.5993187328302,1352.9918962099139,1354.0040098242941,1354.111286709785,1354.8595861176918,1359.2345334275387,1367.9499786531624,1377.1994057357929,1385.204294475103,1395.9454601384243,1402.2037191030079,1404.4498114631222,1404.3323289783075,1402.8262427063182,1400.4102660887002,1397.0202718607002,1396.911226634245,1402.3743482677087,1409.2858180929786,1409.1527243005967,1406.3764229777735,1405.7766417007317,1410.539899954497,1414.379719185018,1415.1901108997652,1418.929076523476,1423.0834797178313,1428.1755381212417,1432.213664859424,1438.7515321428668,1451.3037524302804,1473.4825560345635,1504.1513325380681,1541.898338368068,1581.4086948862835,1619.1586056206695,1647.8009935850173,1663.5436246051856,1676.0064512138933,1684.4949675934206,1694.4472959567229,1704.5525820834794,1717.0918213209545,1740.651140545157,1769.9365391958565,1803.8181029811267,1827.9979764187858,1837.990096294311,1837.3132908513326,1825.0961633382938,1810.3061423879847,1795.00979176016,1789.450876881113
394692,5,"Houston, TX",msa,TX,1308.7962245303236,1316.9861784052769,1326.2522414252473,1335.459856583212,1340.4969560087102,1344.8648959165807,1343.707875842288,1339.5068570762642,1335.0456818258756,1331.8586388828505,1332.3703044004674,1335.8266407354515,1343.1023615258894,1346.9959566991686,1346.6703324989812,1345.2760468022173,1344.66358188682,1342.2126948641483,1336.9891463401718,1333.2614965048072,1327.167920926294,1323.6128225566413,1320.2869585699584,1326.4492871554714,1334.790077469919,1342.3109203684407,1348.7086607888045,1350.9475424545994,1352.0391645922543,1350.3102205806324,1352.5252712722274,1361.6763463220275,1371.0579132340665,1377.7011085988336,1379.3099657058908,1382.0086726988245,1386.325356127395,1393.1765818777715,1398.191835265142,1403.2010178595199,1406.8346037709778,1407.5286753648477,1404.9507340691994,1401.837951455427,1403.901406394908,1403.577978180193,1402.68058199363,1400.547119441428,1404.9106518247995,1410.8525291344843,1418.9767764160783,1426.390561229603,1431.9636591437927,1432.218895362009,1428.6577028727986,1426.3742092064817,1425.3329626243867,1428.2231070080372,1430.1412363082504,1433.467459904106,1436.831089746828,1431.6544106681163,1423.564242133147,1416.4057192236708,1417.2478652537368,1421.4973599290859,1422.655452663943,1426.9349336142857,1430.3234779638653,1432.3050140584473,1430.471985679766,1427.8392854279127,1433.9306565850143,1449.3126771129616,1477.3282189275321,1510.1839128913196,1542.3196976017507,1569.6021809445133,1582.5500537717155,1591.6924152188758,1595.127862747326,1603.1096259251808,1605.7726911707002,1614.2937290804348,1624.5355689368387,1639.9384627389713,1655.4707520676538,1670.1350456571133,1682.9553193191964,1690.3321472433606,1689.5154478135291,1684.223354238606,1675.5930911802589,1669.897867517489,1674.9961006979865
395209,6,"Washington, DC",msa,VA,1762.4381409960354,1772.049436682586,1779.0100070701876,1788.0440169858302,1791.7615690318435,1795.0417156655203,1792.171201347372,1791.41538876768,1785.9123881246599,1784.8408955688385,1782.818445084847,1788.7354354731563,1797.5020595798005,1805.5954070431237,1814.59580476953,1820.0059889249496,1818.9751547945439,1819.5185070764367,1813.2459082449534,1812.508627884606,1803.6750400383246,1801.0228952050122,1803.5378563119593,1812.522874666149,1824.0870982696856,1835.4815244944505,1844.6722186931843,1852.4636692985064,1855.101807125414,1856.7334315707933,1854.468515215474,1847.2997974541101,1836.646379578639,1829.4619024075914,1830.52120201169,1837.2951895767544,1847.3694899387756,1860.4197079181888,1872.3755446141076,1884.8412382903066,1893.3093351089387,1899.0328922307197,1895.2143492841878,1890.0053320374727,1886.137539009335,1886.4997720617073,1890.3932033488807,1897.3391423687515,1907.4049694623006,1919.2580734993026,1931.1701028216128,1943.4967730123387,1950.589777363002,1954.199640570378,1954.556373283562,1949.294127857379,1942.5700777316126,1935.2356256985236,1937.948807814807,1943.854079806309,1954.5793810615612,1952.1008472839515,1944.2359967750251,1934.9435829834092,1932.4119276206443,1927.9104543025892,1913.1872158824829,1893.8527652238665,1873.2726813274269,1862.9723398616572,1861.1571818726204,1869.4256732290428,1879.2790626085355,1900.1897382680477,1930.8951898573653,1971.6008370132156,2011.7946638039402,2047.8191280534263,2071.076057960861,2083.9166325946526,2085.3835704211783,2087.9636764458587,2088.780645451795,2098.5657031913033,2113.235863571779,2136.673751060674,2161.080972600044,2186.6883565398803,2208.3350579928137,2223.6284900454375,2228.151437754963,2218.856356892857,2200.1386934222805,2182.952221305487,2178.0826407365644
394856,7,"Miami, FL",msa,FL,1577.7419121526766,1583.7939005255705,1590.5578673891455,1600.4134306968447,1608.3566156682691,1616.816913391672,1625.483438359662,1639.2945841743608,1649.5004795745178,1653.637004955372,1656.9657270513876,1660.4513911287054,1667.2915265034321,1667.7440899121364,1668.1738412465531,1667.0371509566464,1669.8347307435588,1672.070792245116,1674.9266358583027,1678.079929954282,1681.7501567354263,1682.5093854617203,1686.1585153658568,1689.2225119935626,1695.8653741384917,1697.970918849758,1699.697027652934,1703.3047447036704,1708.957154273215,1715.2250931294375,1718.6413325793897,1724.8454182715473,1728.155526123839,1732.5472182388462,1733.6799139349346,1736.6238725961075,1739.3943314261037,1742.2816035328726,1746.4624703881748,1752.308265592803,1757.4972665644138,1764.859510203486,1770.32844120865,1779.2571774999938,1784.189551457699,1789.2762154342367,1789.1168278768798,1790.412813732677,1793.103417535629,1796.928886240481,1799.9154817628983,1802.8524288603203,1808.7851131332873,1813.6446055106762,1820.3131482811425,1828.367630538211,1838.7756249393387,1847.532966681365,1851.3907870342543,1855.7177682270578,1857.669755956114,1852.0140439150873,1839.7020288861368,1829.394396331092,1832.7216842461899,1839.9990904929402,1848.8101531791374,1856.9713477828325,1873.716153914789,1891.5301516247578,1915.7959057847188,1935.7029142200545,1963.5117761965605,1995.7559045975104,2041.7242303893543,2098.270646649904,,2244.886757042986,2313.9636501358923,2367.6319022714015,2419.9537894111168,2473.627650881505,2517.4630067152384,2554.6972067475162,2593.3577809944113,2638.2629703713096,2682.337403801471,2708.7165980033114,2727.996990699439,2730.9814971492606,2743.5591677761904,2752.0235765717593,2764.3893700818226,2762.555293873886,2759.359212039946
394974,8,"Philadelphia, PA",msa,PA,1299.2376896518397,1305.1389989045201,1314.4681153513209,1319.912649303015,1323.6043655258143,1325.5966381362389,1324.7225076829761,1322.7584811724669,1319.5332365068382,1317.7136560737063,1320.6596754127058,1324.4281690460498,1333.9945627150723,1341.7726643071803,1351.064439624344,1355.9791910823744,1357.2674370210239,1355.0167729147356,1352.5191568950586,1350.5736790589467,1351.753663096139,1350.5434950436274,1352.4166064113467,1357.4417589482023,1366.176476270321,1376.0647670942542,1382.7671473205894,1387.8542635483484,1389.4831034835406,1390.5830775914544,1388.2156710556173,1387.5650570657522,1386.400083782042,1389.8932356058153,1389.437309436473,1393.0608323159663,1399.7378896524945,1411.3530107609708,1422.9450187500474,1429.513170580026,1433.6022662557125,1433.5621222214209,1433.3302207533632,1432.9929853958954,1432.4976594290883,1432.89310049097,1436.5498656055518,1442.2481879655566,1452.1638942221327,1461.5634972662574,1470.022961854653,1478.7829816820208,1484.4145367440337,1487.2817778699527,1485.2512551666355,1483.2790552287966,1482.9188860069567,1482.8988215517654,1484.6506262397902,1493.112577803038,1502.6461089137536,1504.3382122996054,1502.6157583951044,1500.3307399435676,1506.2103564084107,1509.9883161324542,1511.543800390306,1509.8907542345594,1510.0159632792397,1512.8797171099973,1514.861657608819,1514.7841227702174,1520.795575870152,1536.8589332594718,1561.6673964653587,1584.7281836011334,1607.6197806102975,1632.5927723863022,1654.478023680636,1670.6557202177344,1676.122077295786,1688.1637297552475,1692.1064382733102,1702.70501927624,1710.150355678402,1727.0480070799604,1742.9102149317248,1759.059852996596,1775.3424995226383,1786.053929501265,1788.2239957518868,1784.096633929337,1778.0044249091966,1774.280892255312,1773.4077579960651
394347,9,"Atlanta, GA",msa,GA,1087.4916219246252,1096.370827995843,1106.3293629744505,1116.6818097169669,1125.8939017404161,1130.5467197029477,1132.3743300031522,1131.824553918821,1132.5094078758846,1134.391483747132,1137.9519601701797,1144.0996399220262,1155.391403817383,1164.7547646517778,1174.2452658550094,1181.5867051589244,1191.1598256209363,1196.5408427469404,1198.3701945220257,1200.4304287122516,1200.4953810327552,1200.2289318236901,1201.6751948202539,1208.7199006830388,1219.5889976333217,1230.0388008690034,1241.5267144611848,1252.5380456013338,1263.0458889802649,1270.6158633966784,1274.97360278792,1273.6871913116322,1271.6725293833697,1271.5578857705789,1276.4270899825406,1283.2548399895463,1292.7227627462275,1303.2464037721577,1317.6036005502863,1327.917939965799,1337.0222881321226,1342.409157477707,1347.4100802947005,1351.6703719027512,1354.7001645503017,1357.872261998065,1364.7187355982762,1370.287008718834,1380.3033713883453,1388.9930452096369,1401.0503116098655,1410.7483658277788,1418.3341197890313,1424.0294389652804,1426.9823114912153,1426.9953112968233,1424.741045369766,1423.6634398284734,1426.7510692881224,1434.1225958152047,1442.0180936805175,1442.5877901100862,1440.8859754657444,1443.8380630384193,1455.592616584597,1471.4248721931485,1482.865677913311,1494.0020915672208,1501.1167214396276,1511.1809843634117,1521.9288484180954,1537.9441033726412,1557.781606901295,1584.4840644992848,1617.1564965430857,1659.1280526116254,1707.960915021817,1761.7200311624263,1801.2262976269471,1826.126364311236,1833.896710882256,1838.6630668054827,1841.8801229980368,1851.188048587493,1864.1377255129344,1874.5547047889304,1892.5120726871594,1914.0825347717941,1942.7815076565955,1958.7805601163998,1966.3233188074623,1960.7880677252192,1950.640732701168,1944.633337267451,1940.6285543524225
